title,created,plays
Kimberly Christen-Withey Digital Dialogue: 'On Not Looking: Ethics and Access in the Digital Humanities',2014-03-26T17:09:22+00:00,391,https://vimeo.com/videos/90140105
Porter Olsen Digital Dialogue: 'What Falls Out: Preserving Our Digital Heritage with BitCurator',2014-03-21T18:00:58+00:00,72,https://vimeo.com/videos/89731913
"""Reading, Rereading, Recovering Electronic Literature"" E-Lit Event Part II of II",2014-03-11T13:53:34+00:00,59,https://vimeo.com/videos/88760146
"""Reading, Rereading, Recovering Electronic Literature"" E-Lit Event Part I of II",2014-02-25T16:42:12+00:00,61,https://vimeo.com/videos/87583883
"Anne Balsamo Digital Dialogue: 'Heavy Data, Cultural Memories: Lessons from the AIDS Memorial Quilt Digital Experience Project'",2014-02-20T17:49:48+00:00,111,https://vimeo.com/videos/87201075
Rachel Donahue: It’s too dangerous to go alone! Take this.,2014-02-03T20:52:18+00:00,55,https://vimeo.com/videos/85763593
Ian Bogost: I Kickstarted Your Project And I Didn't Even Get The Lousy T-Shirt,2013-11-11T16:04:22+00:00,77,https://vimeo.com/videos/79109056
"Robin Pike: From the Stacks to the Future of Research: Building a Scalable, Sustainable Digitization Program at the University o",2013-11-07T17:31:50+00:00,55,https://vimeo.com/videos/78839020
Katie Shilton: Finding Values Levers: Building Ethics into Emerging Technologies,2013-11-07T16:23:44+00:00,160,https://vimeo.com/videos/78832558
Irene Eleta: Multilingual Users of Twitter: Social Ties Across Language Borders or How a Story Could Travel the World,2013-11-05T21:07:44+00:00,83,https://vimeo.com/videos/78669333
Elissa Frankle: Making History with the Masses: Citizen History and Radical Trust in Museums,2013-11-05T18:31:46+00:00,53,https://vimeo.com/videos/78655178
"Abigail McEwen: Archiving Modern Latin American Art: Sites, Students and Collaboration in the Greater Washington Area",2013-10-31T20:50:26+00:00,106,https://vimeo.com/videos/78297602
Chris Prom: Documenting Science in the Digital Age: What's the Same and What's Different,2013-10-30T21:13:21+00:00,81,https://vimeo.com/videos/78206073
Nicole Saylor: Archiving Folk Culture in the Digital Age,2013-10-29T20:56:02+00:00,101,https://vimeo.com/videos/78108558
"George Williams: Accessibility in Digital Environments: Language, Law, and the Question of Inclusion",2013-10-28T19:22:10+00:00,68,https://vimeo.com/videos/78005122
Tara McPherson: Scholarship In and Beyond the Database,2013-10-23T21:16:47+00:00,129,https://vimeo.com/videos/77638421
Allan Renear: An Eliminativist Ontology of the Digital World—and What It Means for Data Curation,2013-10-22T17:06:12+00:00,125,https://vimeo.com/videos/77519454
Unconference_Oct10th2013,2013-10-14T18:23:02+00:00,27,https://vimeo.com/videos/76891950
Janet Murray Digital Dialogue: 'Inventing the Medium as a Humanistic Practice: From Deconstruction to Meta-construction',2013-08-27T16:06:05+00:00,26,https://vimeo.com/videos/73233821
OAC Rollout - An Annotation Plugin for Fedora,2013-08-01T18:14:09+00:00,4,https://vimeo.com/videos/71523206
OAC Rollout - Video Annotation,2013-08-01T18:12:28+00:00,12,https://vimeo.com/videos/71523096
OAC Rollout - Annotator and LoreStore,2013-08-01T17:23:03+00:00,5,https://vimeo.com/videos/71519774
OAC Rollout - Domeo,2013-08-01T17:23:02+00:00,5,https://vimeo.com/videos/71519772
OAC Rollout - FilteredPush,2013-08-01T17:23:02+00:00,0,https://vimeo.com/videos/71519770
OAC Rollout - Shared Canvas,2013-08-01T17:23:01+00:00,3,https://vimeo.com/videos/71519768
OAC Rollout - Translating Flickr Notes and Tags into OA,2013-08-01T17:23:01+00:00,1,https://vimeo.com/videos/71519766
OAC Rollout - Open Annotation Tools and Services Registry,2013-08-01T17:21:07+00:00,3,https://vimeo.com/videos/71519650
OAC Rollout - Open Annotation Data Model (Core),2013-08-01T17:04:22+00:00,20,https://vimeo.com/videos/71518503
OAC Rollout - Open Annotation Data Model (Multiplicity and Publishing Modules),2013-08-01T17:04:22+00:00,4,https://vimeo.com/videos/71518502
OAC Rollout - Welcome and Agenda,2013-08-01T17:04:22+00:00,3,https://vimeo.com/videos/71518501
OAC Rollout - Open Annotation Data Model (Specifiers and Specific Resources),2013-08-01T17:04:22+00:00,5,https://vimeo.com/videos/71518500
"PDA 2013 Keynote, George ""The Fat Man"" Sanger",2013-04-24T17:58:31+00:00,8,https://vimeo.com/videos/64746228
"“Law and Society: Current Advances in the Digital Afterlife,” Evan Carroll",2013-04-24T17:56:41+00:00,9,https://vimeo.com/videos/64746081
"“Projections of Life- Prewar Jewish Life on Film,” Leslie Swift and Lindsay Zarwell",2013-04-24T17:51:47+00:00,49,https://vimeo.com/videos/64745662
DHWI 2013: Ignite Part 2,2013-02-07T15:17:55+00:00,6,https://vimeo.com/videos/59154988
DHWI 2013: Ignite Part 1,2013-02-01T16:04:16+00:00,25,https://vimeo.com/videos/58719513
DHWI  Keynote: Seb Chan,2013-01-28T18:48:37+00:00,20,https://vimeo.com/videos/58389771
Topic Modeling Workshop: Mimno,2012-11-08T14:21:03+00:00,4511,https://vimeo.com/videos/53080123
Topic Modeling Workshop: Guldi and Johnson-Roberson,2012-11-08T13:58:51+00:00,1540,https://vimeo.com/videos/53078693
Topic Modeling Workshop: Jockers and Nelson,2012-11-06T20:57:25+00:00,529,https://vimeo.com/videos/52959139
New Space Reception: Maryland Institute for Technology in the Humanities,2012-09-06T19:22:30+00:00,48,https://vimeo.com/videos/48973729
"Mano Marks Presentation #2, MITH API Workshop",2011-09-15T17:47:58+00:00,24,https://vimeo.com/videos/29107379
"Patrick Murray John Lightning Talk, MITH API Workshop",2011-08-30T19:53:12+00:00,37,https://vimeo.com/videos/28372542
"Patrick Murray John Lightning Talk, MITH API Workshop",2011-08-30T19:44:27+00:00,20,https://vimeo.com/videos/28372126
"DHSI Plenary Lecture: ""Digital Humanities Archive Fever""",2011-08-22T12:29:58+00:00,737,https://vimeo.com/videos/28006483
"Trevor Owens Lightning Talk, MITH API Workshop",2011-08-03T15:12:25+00:00,50,https://vimeo.com/videos/27247174
"Seth Denbo Lightning Talk, MITH API Workshop",2011-08-03T14:57:11+00:00,46,https://vimeo.com/videos/27246548
"Piotr Adamcyzk Lightning Talk, MITH API Workshop",2011-08-03T14:23:14+00:00,20,https://vimeo.com/videos/27245096
"Neil Mansilla Lightning Talk, MITH API Workshop",2011-08-03T14:19:35+00:00,51,https://vimeo.com/videos/27244924
"Natalie Binder Lightning Talk, MITH API Workshop",2011-08-02T16:48:14+00:00,91,https://vimeo.com/videos/27204637
"Michael Lascarides Lightning Talk, MITH API Workshop",2011-08-02T16:46:06+00:00,141,https://vimeo.com/videos/27204547
"Jason Clark Lightning Talk, MITH API Workshop",2011-08-02T16:23:45+00:00,10,https://vimeo.com/videos/27203688
"Ian Brown Lightning Talk, MITH API Workshop",2011-08-02T16:22:30+00:00,17,https://vimeo.com/videos/27203628
"Ed Summers Lightning Talk, MITH API Workshop",2011-08-02T16:21:24+00:00,23,https://vimeo.com/videos/27203597
"Dot Porter Lightning Talk, MITH API Workshop",2011-08-02T16:11:26+00:00,19,https://vimeo.com/videos/27203164
"Damon Baker Lightning Talk, MITH API Workshop",2011-08-02T16:10:04+00:00,29,https://vimeo.com/videos/27203112
"Chris Thatcher Lightning Talk, MITH API Workshop",2011-08-02T15:56:52+00:00,25,https://vimeo.com/videos/27202512
"Boris Capitanu Lightning Talk, MITH API Workshop",2011-08-02T15:52:46+00:00,68,https://vimeo.com/videos/27202318
"Kate Chapman Lightning Talk, MITH API Workshop",2011-08-02T15:30:12+00:00,26,https://vimeo.com/videos/27201345
"Jen Serventi Lightning Talk, MITH API Workshop",2011-08-02T15:27:28+00:00,1,https://vimeo.com/videos/27201215
"Jeff Mummert Lightning Talk, MITH API Workshop",2011-08-02T15:23:01+00:00,19,https://vimeo.com/videos/27201016
"George Oates Presentation, MITH API Workshop",2011-07-15T16:14:55+00:00,125,https://vimeo.com/videos/26479017
"Mano Marks Presentation, MITH API Workshop",2011-07-14T14:34:53+00:00,325,https://vimeo.com/videos/26428712
"Peter Keane Presentation, MITH API Workshop",2011-06-29T19:26:51+00:00,175,https://vimeo.com/videos/25782339
"Raymond Yee Presentation, MITH API Workshop",2011-06-29T19:17:48+00:00,215,https://vimeo.com/videos/25781867
NewUI Case Study: Maryland Maps,2011-06-22T03:33:56+00:00,35,https://vimeo.com/videos/25439221
NewUI Case Study: Breath of Spring,2011-06-22T03:27:31+00:00,119,https://vimeo.com/videos/25439034
NewUI Case Study: Haft Awrang,2011-06-22T03:17:02+00:00,64,https://vimeo.com/videos/25438734
CorporaCamp Woodchipper,2011-03-08T21:37:56+00:00,290,https://vimeo.com/videos/20806063
Zotero AXE Demonstration,2009-10-21T15:04:55+00:00,454,https://vimeo.com/videos/7184265
A Guide to Music Theatre Online,2009-10-02T14:29:06+00:00,389,https://vimeo.com/videos/6867241
Using the Shakespeare Quartos Archive,2009-08-13T19:57:51+00:00,1186,https://vimeo.com/videos/6089312
Advanced Features of the Shakespeare Quartos Archive,2009-08-13T19:51:55+00:00,1992,https://vimeo.com/videos/6089206
About the Shakespeare Quartos Archive,2009-08-13T18:39:43+00:00,1808,https://vimeo.com/videos/6088026
