title,created,plays
"Paul Jaskot: 'Digital Art History: Old Problems, New Debates, and Critical Potentials'",2017-02-01T17:09:28+00:00,34,https://vimeo.com/videos/202064194
"Dana Williams & Kenton Rambsy Digital Dialogue: ""Looking for the Perfect Beat:"" African American Literary History--Technology an",2016-11-15T20:50:55+00:00,45,https://vimeo.com/videos/191700911
"Sarah Patterson & Jim Casey Digital Dialogue: ' To Organize, Organize, ORGANIZE: the Colored Conventions, Then and Now'",2016-11-08T21:07:54+00:00,39,https://vimeo.com/videos/190779624
Alberto Campagnolo Digital Dialogue: 'Conservation and Digitization: A Technologizing of the Book as an Object',2016-11-02T19:13:34+00:00,77,https://vimeo.com/videos/189986974
Ravon Ruffin Digital Dialogue: 'Digital Archives: Radical Acts of Self-Preservation',2016-10-25T20:18:01+00:00,131,https://vimeo.com/videos/188888033
SPLC Blocklist,2016-10-19T17:21:46+00:00,38,https://vimeo.com/videos/188019188
Gregory Zinman Digital Dialogue: 'Nam June Paik’s Etude and the Indeterminate Origins of Digital Media Art',2016-10-18T20:27:29+00:00,50,https://vimeo.com/videos/187886680
Catherine Knight Steele Digital Dialogue: 'Deviant Black Bodies and Embodied Black Feminism in the Blogosphere',2016-10-12T14:57:55+00:00,165,https://vimeo.com/videos/187025005
Purdom Lindblad Digital Dialogue: 'Finding Aids for the Unread: Design for the Visualization of Reading',2016-10-04T21:48:17+00:00,32,https://vimeo.com/videos/185560382
Jimmy Lin Digital Dialogue: 'The Digital Docket: Information Retrieval Meets Political Science',2016-08-15T20:47:36+00:00,24,https://vimeo.com/videos/178957682
"Stuart Moulthrop Digital Dialogue: 'Playing with Worlds: Narrative, Fiction, and the Cultural Reception of Videogames'",2016-08-15T20:47:28+00:00,23,https://vimeo.com/videos/178957666
Vika Zafrin Digital Dialogues: 'The Virtual Humanities Lab and the Evolution of Remote Collaboration',2016-08-15T20:47:27+00:00,18,https://vimeo.com/videos/178957665
Chuck Henry Digital Dialogue: 'Rice University Press: Non Fac Simile',2016-08-15T20:47:23+00:00,9,https://vimeo.com/videos/178957650
Linda Frueh Digital Dialogue: 'The Internet Archive and the Digital Humanities',2016-08-15T20:47:00+00:00,51,https://vimeo.com/videos/178957605
"Martha Nell Smith: 'Agora.Techno.Phobia.Philia: Gender (and other messy matters), Knowledge Building, and Digital Media'",2016-08-15T20:46:50+00:00,14,https://vimeo.com/videos/178957573
Paul E Ceruzzi Digital Dialogues: 'From ARPANET to the Internet: How a Military Project Became a World-Wide Cultural Phenomenon',2016-08-15T20:46:46+00:00,77,https://vimeo.com/videos/178957564
David Saltz Digital Dialogue: 'Simulating Liveness: From Virtual Vaudeville to Second Life',2016-08-15T20:46:46+00:00,36,https://vimeo.com/videos/178957563
John Tolva Digital Dialogue: 'Architecting Cultural Spaces: Case Studies of Virtual Representation in the Humanities',2016-08-15T20:46:27+00:00,6,https://vimeo.com/videos/178957522
"Tanya Clement Digital Dialogue: ""Using Digital Tools to Not-Read Gertrude Stein’s 'The Making of Americans'""",2016-08-15T20:46:05+00:00,44,https://vimeo.com/videos/178957481
Kate Murray Digital Dialogue: 'Developing Digital Curation Policies in a Local Context',2016-08-15T20:45:51+00:00,5,https://vimeo.com/videos/178957454
Byron Hawk Digital Dialogue: 'Identifying Web 2.0: Remixing Institutional Identities',2016-08-15T20:45:43+00:00,3,https://vimeo.com/videos/178957442
Dan Cohen Digital Dialogue: 'Zotero and the Promise of Social Computing in Academia',2016-08-15T20:45:36+00:00,6,https://vimeo.com/videos/178957425
Janel Brennan-Tillmann & Catherine Hays Zabriskie: 'Applying Web 2.0 Tools to Instruction: Collaborative Website Development',2016-08-15T20:45:34+00:00,10,https://vimeo.com/videos/178957419
Jason Nelson Digital Dialogue: 'Traveling Digital Magicke Show',2016-08-15T20:45:26+00:00,8,https://vimeo.com/videos/178957399
Zach Whalen Digital Dialogue: 'The Videogame Text',2016-08-15T20:45:16+00:00,16,https://vimeo.com/videos/178957373
Brent Seales Digital Dialogue: 'EDUCE:  Enhanced Digital Unwrapping for Conservation and Exploration',2016-08-15T20:45:13+00:00,32,https://vimeo.com/videos/178957365
Tom Scheinfeldt & Dave Lester Digital Dialogue: 'Omeka: Easy Web Publishing for Scholarship and Cultural Heritage',2016-08-15T20:45:09+00:00,6,https://vimeo.com/videos/178957360
Stanley Katz Digital Dialogue: 'Digital Humanities 3.0: Where We Have Come From and Where We Are Now?',2016-08-15T20:45:05+00:00,31,https://vimeo.com/videos/178957352
Doug Reside Digital Dialogue: 'The MITHological AXE: Multimedia Metadata Encoding with the Ajax XML Encoder',2016-08-15T20:45:01+00:00,3,https://vimeo.com/videos/178957345
Jonathan Auerbach Digital Dialogue: 'Early Cinema as New Media',2016-08-15T20:39:47+00:00,28,https://vimeo.com/videos/178956683
Kari Kraus Digital Dialogue: 'Rezzing Books: Codex Technology in the Metaverse',2016-08-15T20:39:41+00:00,14,https://vimeo.com/videos/178956661
Bernard Frischer Digital Dialogue: 'Making Culture Virtual: Recent 3D Modeling Projects at the Institute for Advanced Technology,2016-08-08T21:12:31+00:00,12,https://vimeo.com/videos/178085497
Georgina Goodlander Digital Dialogue: 'Ghosts of a Chance: A Museum-Based Alternate Reality Game',2016-08-08T21:09:57+00:00,95,https://vimeo.com/videos/178085097
"Jennifer Fleeger Digital Dialogue: 'Archiving America: The Vitaphone, the DVD, and Warner Bros. (re)Store Jazz History'",2016-08-08T21:09:32+00:00,28,https://vimeo.com/videos/178085037
Greg Crane Digital Dialogue: 'From the First Year Through Tenure: New Pathways for Humanities in a Digital Age',2016-08-08T21:09:24+00:00,6,https://vimeo.com/videos/178085027
"Ben Bederson, Nick Chen, & Matt Kirschenbaum Digital Dialogue: 'The Great Ebook Throwdown'",2016-08-08T21:09:18+00:00,6,https://vimeo.com/videos/178085017
"Mark Sample Digital Dialogue: 'The Open Source Professor: Teaching, Research, and Transparency'",2016-08-08T21:09:11+00:00,11,https://vimeo.com/videos/178084991
Doug Reside Digital Dialogue: 'If/Then 101: Teaching Programming at Maryland',2016-08-08T21:09:06+00:00,9,https://vimeo.com/videos/178084981
Sayeed Choudhury Digital Dialogue: 'An Abundant Humanities Library',2016-08-08T21:09:01+00:00,9,https://vimeo.com/videos/178084967
"Brad Pasenak Digital Dialogue: 'A Dictionary, A Database, A Desultory Reader: Metaphors for the Mind in 18th-Century Literature'",2016-08-08T21:08:56+00:00,21,https://vimeo.com/videos/178084950
Bryan Carter & Zita Nunes Digital Dialogue: 'The Harlem Renaissance in Second Life',2016-08-08T21:08:52+00:00,55,https://vimeo.com/videos/178084943
Rachel Donahue Digital Dialogue: 'A Glance at the Current State of Video Game Preservation',2016-08-08T21:08:49+00:00,22,https://vimeo.com/videos/178084938
Despina Kakoudaki Digital Dialogue: 'Are Robots Real? The Robot as an Object of Study',2016-08-08T21:07:19+00:00,35,https://vimeo.com/videos/178084708
Frank Hildy Digital Dialogue: 'Developing the theatre-finder.org Project',2016-08-08T19:02:22+00:00,3,https://vimeo.com/videos/178065370
Tara Rodgers Digital Dialogue: 'Representing Lively Bodies in Sound: Legacies of Analog Signification in Digital Audio',2016-08-08T19:02:22+00:00,14,https://vimeo.com/videos/178065369
"Jason Scott Digital Dialogue: 'Jason Scott and ""Get Lamp""'",2016-08-08T19:00:41+00:00,28,https://vimeo.com/videos/178065096
Matthew K. Gold Digital Dialogue: 'Beyond Friending: @cunycommons and the Emergence of the Social University',2016-08-08T19:00:15+00:00,5,https://vimeo.com/videos/178065027
Hasan Elahi Digital Dialogue: 'Tracking Transience: The Orwell Project',2016-08-08T19:00:07+00:00,267,https://vimeo.com/videos/178064996
Wayne Graham & Joe Gilbert Digital Dialogue: 'A Humanist’s Introduction to Programming (with Ruby)',2016-08-08T19:00:03+00:00,13,https://vimeo.com/videos/178064977
Jason Farman Digital Dialogue: 'Mapping the Mobile Interface: Geolocation Meets Visualization',2016-08-08T18:59:59+00:00,23,https://vimeo.com/videos/178064968
Nick Chen & Kari Kraus Digital Dialogue: 'Prototyping a Dual-Display e-Reader in the Literature Classroom',2016-08-08T18:59:50+00:00,4,https://vimeo.com/videos/178064945
Beth Bonsignore Digital Dialogue: 'The Design and Use of StoryKit: An Intergenerational Mobile Storytelling App',2016-08-08T18:59:44+00:00,26,https://vimeo.com/videos/178064936
Dave Lester Digital Dialogue: 'Collaborative Approaches to Digital Humanities: Unconferences and Crowdsourcing',2016-08-08T18:59:42+00:00,7,https://vimeo.com/videos/178064929
Siva Vaidhynathan Digital Dialogue: 'The Googlization of Surveillance',2016-08-08T18:59:30+00:00,9,https://vimeo.com/videos/178064890
"Seth Denbo and Neil Fraistat Digital Dialogue: 'Diggable Data, Scalable Reading, and New Humanities Scholarship""",2016-08-08T18:59:18+00:00,16,https://vimeo.com/videos/178064833
James Smith Digital Dialogue: Player Piano: Mechanizing the Humanities,2016-08-08T18:59:05+00:00,2,https://vimeo.com/videos/178064798
David Mimno Digital Dialogue: Computational Historiography in a Century of Classics Journals,2016-08-08T18:40:34+00:00,13,https://vimeo.com/videos/178061429
"Travis Brown Digital Dialogue: 'Teaching Machines to Read Milton: Natural Language Processing Challenges for Literary...""",2016-07-21T17:46:04+00:00,9,https://vimeo.com/videos/175727642
"Thomas Gideon Digital Dialogue: 'The International Amateur Scanning League, Unlocking the Federal Archives One Work at a Time'",2016-07-21T17:44:12+00:00,4,https://vimeo.com/videos/175727363
Mary Flanagan Digital Dialogue: 'Playworlds: Rule Systems & Relational Art',2016-07-21T17:42:18+00:00,7,https://vimeo.com/videos/175727157
Tim Carmody Digital Dialogue: 'Stop Being Polite and Start Getting Real: Professional Education for Professional Humanists',2016-07-21T17:40:04+00:00,21,https://vimeo.com/videos/175726856
"Julie Meloni Digital Dialogue: 'Community, Cohesion, and Commitment: Developing and Deploying Open Source Tools...""",2016-07-21T17:37:19+00:00,2,https://vimeo.com/videos/175726549
Nancy Proctor Digital Dialogue: 'Mobile for Museums and Cultural Heritage',2016-07-21T17:30:46+00:00,20,https://vimeo.com/videos/175725755
"Beth Bonsignore et al. Digital Dialogue: 'It's Not a Game to Me: ARGs, Game Design, & Secret Agents in the Schoolroom'",2016-07-21T17:26:33+00:00,14,https://vimeo.com/videos/175725273
Beth Coleman Digital Dialogue: 'Everything is Animated: Pervasive Media and the Networked Subject',2016-07-21T17:23:36+00:00,16,https://vimeo.com/videos/175724859
Peter Kay Digital Dialogue: 'Thoughts on the Decline of the Book as Physical Object',2016-07-21T17:20:43+00:00,21,https://vimeo.com/videos/175724441
"Trevor Muñoz Digital Dialogue: 'Learning on the Job: Data Curation by Humanists, Librarians, and the Public'",2016-07-21T17:16:03+00:00,10,https://vimeo.com/videos/175723844
Rachel Frick Digital Dialogue: 'Networked Macrosolutions: Library Peer-Sourced Collaborative Services',2016-07-21T17:11:20+00:00,5,https://vimeo.com/videos/175723271
Trevor Owens Digital Dialogue: 'The Time and Place for Space and Time: Interfaces to Distributed Cultural Heritage Collections',2016-07-14T17:55:33+00:00,36,https://vimeo.com/videos/174699948
Jennifer Guiliano Digital Dialogue: 'Practical Strategies for Digital Humanities Development',2016-07-14T17:49:43+00:00,14,https://vimeo.com/videos/174699111
Fred Gibbs Digital Dialogue: 'Criticism in the Digital Humanities',2016-07-14T17:44:21+00:00,30,https://vimeo.com/videos/174698314
Lynn Cazabon Digital Dialogue: 'The Archive's Shadow',2016-07-14T17:34:51+00:00,11,https://vimeo.com/videos/174696775
"Lisa Snyder Digital Dialogue: 'A Conversation about Compulsion, the World's Columbian Exposition of 1893, and Virtual Reality'",2016-07-14T17:32:11+00:00,45,https://vimeo.com/videos/174696314
Jeremy Dibbell Digital Dialogue: 'Enhancing the Bibliosphere: Bringing Historical Libraries to Life at LibraryThing',2016-07-14T17:27:25+00:00,18,https://vimeo.com/videos/174695596
Jordan Boyd-Graber Digital Dialogue: 'Making Topics More Human(e)',2016-07-14T17:25:20+00:00,10,https://vimeo.com/videos/174695240
Jeffrey Schnapp Digital Dialogue: 'Building the Digital Library of America',2016-07-14T17:21:29+00:00,16,https://vimeo.com/videos/174694636
